what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322462063544
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322462063545
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322462063546
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322462063546
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1322462063547
os,sysinfo,,,"macosx",1322462063551
arch,sysinfo,,,"x86_64",1322462063551
ws,sysinfo,,,"cocoa",1322462063551
locale,sysinfo,,,"en_US",1322462063551
processors,sysinfo,,,"2",1322462063551
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322462063551
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1322462063551
java.specification.name,sysinfo,,,"Java Platform API Specification",1322462063551
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322462063551
java.specification.version,sysinfo,,,"1.6",1322462063551
java.vendor,sysinfo,,,"Apple Inc.",1322462063551
java.version,sysinfo,,,"1.6.0_26",1322462063551
java.vm.info,sysinfo,,,"mixed mode",1322462063551
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322462063551
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322462063551
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322462063551
java.vm.specification.version,sysinfo,,,"1.0",1322462063551
java.vm.vendor,sysinfo,,,"Apple Inc.",1322462063551
java.vm.version,sysinfo,,,"20.1-b02-383",1322462063551
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322462063554
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1322462064342
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322462064394
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1322462064473
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1322462064578
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1322462064588
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1322462064737
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1322462064890
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1322462064911
